NODES, q, ratio, Di, num_adaptive, synce,


12,0.1,0.5,6,0,0,398.51204138404205
12,0.4,0.5,6,0,0,26.70350542533446
12,0.0,0.5,6,0,0,616.8449039560168
12,0.3,0.5,6,0,0,51.883111673902405
12,0.12000000000000001,0.5,6,0,0,310.29878021930006
12,0.32,0.5,6,0,0,281.69902725510883
12,0.02,0.5,6,0,0,611.3812622859666
12,0.34,0.5,6,0,0,95.37956863297264
12,0.04,0.5,6,0,0,601.0570375968496
12,0.42000000000000004,0.5,6,0,0,13.358337584446138
12,0.36000000000000004,0.5,6,0,0,206.709715271728
12,0.14,0.5,6,0,0,138.42673013374792
12,0.44000000000000006,0.5,6,0,0,113.75831872233606
12,0.2,0.5,6,0,0,8.700807994023647
12,0.06,0.5,6,0,0,452.92282241290445
12,0.22,0.5,6,0,0,543.226919007292
12,0.16,0.5,6,0,0,485.3233214198767
12,0.08,0.5,6,0,0,591.070092347053
12,0.24,0.5,6,0,0,110.26521739911601
12,0.18,0.5,6,0,0,106.67661491134119
12,0.38000000000000006,0.5,6,0,0,5.029426209284832
12,0.4600000000000001,0.5,6,0,0,11.231081726695047
12,0.4800000000000001,0.5,6,0,0,23.988691245198964
12,0.26,0.5,6,0,0,11.899563344613997
12,0.28,0.5,6,0,0,37.981411480219805
